Start URL,Category,Product,Unit,Price,Slash Price,Details Link
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Nikko Brand Whole Mushroom,425 g,RM 3.55,,https://myaeon2go.com/product/2372/whole-mushroom
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Buttercup Butter Blend Spread,1 kg,RM 21.51,,https://myaeon2go.com/product/2096/butter-blend-spread
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Jasmine Sunwhite Super Import (Wangi Thailand),10 kg,RM 60.99,RM 73.34,https://myaeon2go.com/product/2626/sunwhite-super-import-%28wangi-thailand%29
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Nongshim Shin Ramyun,5 x 120 g,RM 18.99,RM 22.80,https://myaeon2go.com/product/6408/nongshim-shin-ramyun-5-x-120-g
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Sun City Button Mushroom,425 g,RM 4.06,,https://myaeon2go.com/product/12796/button-mushroom
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Howei Mushroom,425 g,RM 5.86,,https://myaeon2go.com/product/16753/mushroom
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Jasmine Sunwhite Super Import (Wangi Thailand),5 kg,RM 31.99,RM 36.64,https://myaeon2go.com/product/2627/sunwhite-super-import-%28wangi-thailand%29
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Maggi 2 Minute Curry Instant Noodle,5 x 79 g,RM 4.79,RM 5.79,https://myaeon2go.com/product/2453/2-minute-curry-instant-noodle
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Maggi 2 Minute Instant Noodle,,RM 4.19 to RM 6.20,RM 5.79,https://myaeon2go.com/product/2450/2-minute-chicken-instant-noodle
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Maggi 2 Minute Chicken Instant Noodle,5 x 77 g,RM 4.19,RM 5.79,https://myaeon2go.com/product/2450/2-minute-chicken-instant-noodle
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,TOPVALU Rice Vermicelli,400 g,RM 6.90,,https://myaeon2go.com/product/30712/rice-vermicelli
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,TOPVALU Fresh Rice Vermicelli Dried,300 g,RM 5.90,,https://myaeon2go.com/product/30621/fresh-rice-vermicelli-dried
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,CSR Coarse Sugar,1 kg,RM 2.85,,https://myaeon2go.com/product/5429/coarse-sugar
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Double Swallow Garam Halus,450 g,RM 0.95,,https://myaeon2go.com/product/2926/garam-halus
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Prego Tradisional Spaghetti Sauce,300 g,RM 4.40,RM 5.87,https://myaeon2go.com/product/2852/tradisional-spaghetti-sauce
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Prego Can Pasta Sauce,,RM 4.40 to RM 6.99,RM 5.87,https://myaeon2go.com/product/2848/herbs-&-cheese-sauce
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Anchor Wheat Flour,1 kg,RM 2.99,RM 3.90,https://myaeon2go.com/product/2079/wheat-flour
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Mi Sedaap Mi Goreng,,RM 4.99 to RM 5.54,,https://myaeon2go.com/product/2474/mi-goreng-ayam-krispi
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Mi Sedaap Mi Goreng Asli,5 x 90 g,RM 4.99,RM 5.80,https://myaeon2go.com/product/2475/mi-goreng-asli
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Prego Carbonara Mushroom,295 g,RM 4.40,RM 5.87,https://myaeon2go.com/product/2851/carbonara-mushroom
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Ayam Brand Sardine In Tomato Sauce,155 g,RM 5.30,,https://myaeon2go.com/product/2300/sardine-in-tomato-sauce
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Buruh Cooking Oil,5 kg,RM 30.85,,https://myaeon2go.com/product/2236/cooking-oil
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Maggi Hot Cup Multipack,,RM 14.00,,https://myaeon2go.com/product/6077/maggi-hot-cup-chicken-multipack-6-x-57-g
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Maggi Hot Cup Curry Multipack,6 x 59 g,RM 14.00,,https://myaeon2go.com/product/6078/maggi-hot-cup-curry-multipack-6-x-59-g
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Ayam Brand Coconut Milk,200 ml,RM 3.59,RM 4.00,https://myaeon2go.com/product/2082/coconut-milk
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,Ayam Brand Baked Beans,425 g,RM 4.80,,https://myaeon2go.com/product/2283/baked-beans
https://myaeon2go.com/products/category/6528959/grocery/pages/1-52,Grocery,MFM Cap Rose All Purpose Flour,850 g,RM 2.39,RM 2.70,https://myaeon2go.com/product/2149/cap-rose-all-purpose-flour
