Start URL,Category,Product,Unit,Price,Slash Price,Details Link
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Milo Activ-Go Plus,900 g,RM 25.29,,https://myaeon2go.com/product/6308/activ-go-plus
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Milo Activ-Go Soft Pack,1.8 kg,RM 44.87,,https://myaeon2go.com/product/6316/milo-activ-go-soft-pack-1-8-kg
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Milo Activ-Go Refill Pack,400 g,RM 10.26,,https://myaeon2go.com/product/8513/activ-go-refill-pack
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,100Plus Original Isotonic Drink,24 + 4 x 325 ml,RM 25.88,RM 43.00,https://myaeon2go.com/product/12/100-plus-original-isotonic-drink-28-24-4-x-325-ml
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Dutch Lady UHT Pure Farm Full Cream Milk,3 x 1 liter,RM 17.99,RM 19.85,https://myaeon2go.com/product/9772/uht-pure-farm-full-cream-milk
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Cactus Mineral Water,1.5 liter,RM 1.32,,https://myaeon2go.com/product/942/mineral-water
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Carlsberg Danish Pilsner Can,4 x 6 x 320 ml,RM 128.88,RM 179.00,https://myaeon2go.com/product/8535/carlsberg-danish-pilsner-can-green-label
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,TOPVALU Mineral Water,6 x 1.5 liter,RM 6.30,,https://myaeon2go.com/product/9063/mineral-water
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Spritzer Sparkling Mineral Water,1 liter,RM 3.68,RM 3.89,https://myaeon2go.com/product/958/sparkling-mineral-water
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Spritzer Mineral Water,1.25 Liter,RM 2.78,RM 3.15,https://myaeon2go.com/product/8531/mineral-water
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Spritzer Sparkling Mineral Water Lemon,400 ml,RM 1.98,RM 2.15,https://myaeon2go.com/product/32179/sparkling-mineral-water-lemon
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Anglia Shandy,24 x 320 ml,RM 48.88,RM 72.18,https://myaeon2go.com/product/16291/shandy
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Spritzer Sparkling Lemon,1 liter,RM 3.68,RM 3.89,https://myaeon2go.com/product/55090/spritzer-sparkling-lemon-1-liter
https://myaeon2go.com/products/category/4995043/beverage/pages/1-25,Beverage,Carnation Evaporated Creamer,390 g,RM 3.95,RM 4.24,https://myaeon2go.com/product/8519/evaporated-creamer
