Start URL,Category,Product,Unit,Price,Slash Price,Details Link
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,SCS Cheese Slices Original,200 g,RM 12.42,,https://myaeon2go.com/product/1083/cheese-slices-original
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,SCS Cheese Slices Reduced Fat,200 g,RM 12.42,,https://myaeon2go.com/product/1084/cheese-slices-reduced-fat
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Tatura Cream Cheese,500 g,RM 21.25,,https://myaeon2go.com/product/1087/cream-cheese
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Farm Fresh Yarra Australian Low Fat Pasteurised Cow Milk,1 liter,RM 8.25,,https://myaeon2go.com/product/1426/yarra-australian-low-fat-pasteurised-cow-milk
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Dutch Lady Pure Farm Pasteurised Fresh Milk,1 liter,RM 7.50,RM 9.60,https://myaeon2go.com/product/1427/pure-farm-pasteurised-fresh-milk
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Dutch Lady Pure Farm Pasteurised Full Cream Milk,1 liter,RM 7.99,RM 9.10,https://myaeon2go.com/product/1428/pure-farm-pasteurised-full-cream-milk
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Farm Fresh Full Cream Milk,2 liter,RM 16.70,,https://myaeon2go.com/product/1432/full-cream-milk
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Farm Fresh Cow's Milk,1 liter,RM 7.50,RM 8.60,https://myaeon2go.com/product/1434/cow%27s-milk
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Marigold HL Low Fat Milk,1.89 liter,RM 17.80,,https://myaeon2go.com/product/1443/marigold-hl-low-fat-milk-1-89-liter
https://myaeon2go.com/products/category/8124135/chill-&-frozen/pages/1-21,Chill_&_Frozen,Yakult Ace Cultured Milk,5 x 80 ml,RM 5.60,,https://myaeon2go.com/product/1562/ace-cultured-milk
