Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,"English Muffin pack, 3pcs",3 pcs,5.50,,,,1.83,"<a href=""https://jgsj.jayagrocer.com/products/english-muffin-1pack-1?variant=41611993776295"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Foccacia Bread pack, 3pcs",3 pcs,6.90,,,,2.30,"<a href=""https://jgsj.jayagrocer.com/products/foccacia-bread-3pcs-pack-1?variant=41612499353767"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,French Loaf 1unit,,4.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/french-loaf-1pc-1?variant=41612411502759"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,French Village Bread 1unit,,8.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/french-village-bread-1-pc-1?variant=41612460884135"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Plain Sausage Bun pack, 5pcs",5 pcs,6.30,,,,1.26,"<a href=""https://jgsj.jayagrocer.com/products/hot-dog-bun-5pcs-1?variant=41611923357863"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Portuguese Egg Tart,,3.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/portuguese-egg-tart?variant=46845373087911"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Premium Butter Cake 1unit,,15.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/premium-butter-cake-1-pc-1?variant=41612501942439"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Raisin Loaf 1unit,,6.50,7.90,1.40,17.70,,"<a href=""https://jgsj.jayagrocer.com/products/raisin-loaf-1-pc-1?variant=41612414681255"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Raisin Scone pack, 3pcs",3 pcs,7.00,,,,2.33,"<a href=""https://jgsj.jayagrocer.com/products/raisin-scone-3pcs-pack-1?variant=41612411601063"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Rye Bread 1unit,,7.80,,,,,"<a href=""https://jgsj.jayagrocer.com/products/rye-bread-1-pc-1?variant=41612414877863"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Sesame Baguette 1unit,,7.20,,,,,"<a href=""https://jgsj.jayagrocer.com/products/sesame-baguette-1-pc-1?variant=41612411699367"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Shell Curry Chicken Puff 1unit,,2.20,,,,,"<a href=""https://jgsj.jayagrocer.com/products/shell-curry-chicken-puff-1unit?variant=46845373186215"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Soft Sourdough 1unit,,9.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/soft-sourdough-1unit?variant=46637387710631"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Sourdough Bread 1unit,,10.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/sourdough-bread-1pc-1?variant=41612461408423"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Sugar Ring Doughnut,,2.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/sugar-ring-doughnut-5pcs-pack-1?variant=41612508889255"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Twisted Curry Puff 1unit,,1.70,,,,,"<a href=""https://jgsj.jayagrocer.com/products/twisted-curry-puff-1unit?variant=46845371482279"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Whole Grain Rye Bread 1unit,,10.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/whole-grain-rye-bread-1pc-1?variant=41611899207847"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Wholemeal Baguette 1unit,,7.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/wholemeal-baguette-1-pc-1?variant=41612412092583"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Wholemeal Burger Bun pack, 5pcs",5 pcs,6.80,,,,1.36,"<a href=""https://jgsj.jayagrocer.com/products/wholemeal-burger-bun-5pcs-1?variant=41611909005479"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Wholemeal English Muffin pack, 3pcs",3 pcs,5.50,,,,1.83,"<a href=""https://jgsj.jayagrocer.com/products/wholemeal-english-muffins-3pcs?variant=41736150679719"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bathroom Roll,Cutie Compact Bathroom Tissue 10rolls,,14.99,17.00,2.01,11.80,,"<a href=""https://jgsj.jayagrocer.com/products/cutie-compact-bathroom-tissue-180g-x-10rolls-1?variant=41612196413607"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Cutie Soft Bathroom Tissue 10rolls,,11.40,,,,,"<a href=""https://jgsj.jayagrocer.com/products/cutie-soft-bathroom-tissue-180g-x-10rolls-1?variant=41612196184231"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Kleenex Aloe Vera Clean Care Toilet Tissues 20sheets,,24.90,35.50,10.60,29.90,,"<a href=""https://jgsj.jayagrocer.com/products/kleenex-aloe-vera-clean-care-toilet-tissues-20-rolls-1?variant=41612263686311"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
