Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Groceries,Hamadaya Japanese Reduced Salt Soy Sauce 500Ml,500 ml,16.10,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hamadaya-japanese-reduced-salt-soy-sauce-500ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=2"" target=""_blank"">Start URL</a>"
Groceries,Hamadaya Japanese Soy Sauce 500Ml,500 ml,13.70,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hamadaya-japanese-soy-sauce-500ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=55"" target=""_blank"">Start URL</a>"
Groceries,Heal Citrus Yuzu Creatine Monohydrate 260G,260 g,84.90,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heal-citrus-yuzu-creatine-monohydrate-260g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=92"" target=""_blank"">Start URL</a>"
Groceries,Heal Juicy Apple Creatine Monohydrate 240G,240 g,84.90,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heal-juicy-apple-creatine-monohydrate-240g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=92"" target=""_blank"">Start URL</a>"
Groceries,Heal Raw Unflavoured Creatine Monohydrate Mix 200G,200 g,79.90,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heal-raw-unflavoured-creatine-monohydrate-mix-200g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=92"" target=""_blank"">Start URL</a>"
Groceries,Heinz Apple Cider Vinegar 16Oz Halal,,13.05,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-apple-cider-vinegar-16oz-halal"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=93"" target=""_blank"">Start URL</a>"
Groceries,Heinz Baked Beans Tomato 3X300G,3 x 300 g,26.30,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-baked-beans-tomato-3x300g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=2"" target=""_blank"">Start URL</a>"
Groceries,Heinz Bbq Sauce Chick & Rib 580G,580 g,18.05,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-bbq-sauce-chick-rib-580g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=52"" target=""_blank"">Start URL</a>"
Groceries,Heinz Bbq Sauce Hickory Smoke 580G,580 g,18.05,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-bbq-sauce-hickory-smoke-580g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=52"" target=""_blank"">Start URL</a>"
Groceries,Heinz Bbq Sauce Honey & Garlic 600G,600 g,18.05,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-bbq-sauce-honey-garlic-600g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=15"" target=""_blank"">Start URL</a>"
Groceries,Heinz Bbq Sauce Original 570G,570 g,18.05,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-bbq-sauce-original-570g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=9"" target=""_blank"">Start URL</a>"
Groceries,Heinz Beanz No Added Sugar 415G,415 g,8.00,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-beanz-no-added-sugar-415g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=30"" target=""_blank"">Start URL</a>"
Groceries,Heinz Chicken Broth 1L,1 liter,20.25,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-chicken-broth-1l"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=29"" target=""_blank"">Start URL</a>"
Groceries,Heinz Chilli Sauce 305G,305 g,5.65,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-chilli-sauce-305g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=33"" target=""_blank"">Start URL</a>"
Groceries,Heinz Distilled White Vinegar 32Oz Halal,,15.80,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-distilled-white-vinegar-32oz-halal"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=15"" target=""_blank"">Start URL</a>"
Groceries,Heinz Hot Chili 300G,300 g,6.00,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-hot-chili-300g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=75"" target=""_blank"">Start URL</a>"
Groceries,Heinz Mayonnaise Top Down 220Ml,220 ml,11.00,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-mayonnaise-top-down-220ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=12"" target=""_blank"">Start URL</a>"
Groceries,Heinz Organic Tomato Ketchup 500Ml,500 ml,25.25,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-organic-tomato-ketchup-500ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=3"" target=""_blank"">Start URL</a>"
Groceries,Heinz Quarts Apple Cider Vinegar 32Oz Halal,,23.15,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-quarts-apple-cider-vinegar-32oz-halal"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=12"" target=""_blank"">Start URL</a>"
Groceries,Heinz Squeezable Ketchup 325G,325 g,12.20,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-squeezable-ketchup-325g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=57"" target=""_blank"">Start URL</a>"
Groceries,Heinz Tomato Ketchup 300G,300 g,5.45,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-tomato-ketchup-300g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=15"" target=""_blank"">Start URL</a>"
Groceries,Heinz Tomato Ketchup 50 La Sugar & Salt Aus 500Ml,500 ml,23.25,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-tomato-ketchup-50-la-sugar-salt-aus-500ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=2"" target=""_blank"">Start URL</a>"
Groceries,Heinz Yellow Sqz Mustard 9 Oz,,13.85,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/heinz-yellow-sqz-mustard-9-oz"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=12"" target=""_blank"">Start URL</a>"
Groceries,Hellmann Light Mayonnaise Squeezy 430Ml,430 ml,20.20,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hellmann-light-mayonnaise-squeezy-430ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=29"" target=""_blank"">Start URL</a>"
Groceries,Hellmann Real Mayonnaise Squeezy 430Ml,430 ml,20.20,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hellmann-real-mayonnaise-squeezy-430ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=3"" target=""_blank"">Start URL</a>"
Groceries,Hellmann's Mayonnaise 460Ml,460 ml,18.70,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hellmann-s-mayonnaise-460ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=89"" target=""_blank"">Start URL</a>"
Groceries,Hellmann's Roasted Sesame Dressing 250Ml,250 ml,14.50,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hellmann-s-roasted-sesame-dressing-250ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=91"" target=""_blank"">Start URL</a>"
Groceries,Hellmann's Smoky Thousand Island Dressing 250Ml,250 ml,14.50,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/hellmann-s-smoky-thousand-island-dressing-250ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=91"" target=""_blank"">Start URL</a>"
