Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,Chocolate Rice Cake,450 g,11.98,13.99,2.01,14.40,,"<a href=""https://www.lotuss.com.my/en/product/74934406"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Chocolate Ring Donut (0898) 4pcs,4 pcs,6.69,,,,1.67,"<a href=""https://www.lotuss.com.my/en/product/75053152"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Cocoaland Cocopie Chocolate,6 x 25 g,4.09,4.40,0.31,7.00,0.68,"<a href=""https://www.lotuss.com.my/en/product/75158257"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Cocoaland Cocopie Dark Chocolate,6 x 25 g,4.09,4.40,0.31,7.00,0.68,"<a href=""https://www.lotuss.com.my/en/product/cocoaland-cocopie-dark-chocolate-6x25g"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Delicia Milky Chocolate Spread,375 g,16.55,,,,,"<a href=""https://www.lotuss.com.my/en/product/delicia-milky-chocolate-spread-375g-74490273"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Delicia Milky Chocolate Spread,200 g,9.35,,,,,"<a href=""https://www.lotuss.com.my/en/product/delicia-milky-chocolate-spread-71924515"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Eb Tiger Prawn Roll,250 g,16.98,20.05,3.07,15.30,,"<a href=""https://www.lotuss.com.my/en/product/75126332"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Figo Lotus Leaf Bun,300 g,5.10,,,,,"<a href=""https://www.lotuss.com.my/en/product/75126048"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Fudge CakeLotussx450Gm,,11.98,14.59,2.61,17.90,,"<a href=""https://www.lotuss.com.my/en/product/74934384"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Fuji Traditional Hailam Bread,350 g,4.99,,,,,"<a href=""https://www.lotuss.com.my/en/product/fuji-traditional-hailam-bread-350g-2509164"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
