Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,7Up 500Ml,500 ml,2.70,,,,https://vgg.bites.com.my/collections/beverages/products/7up-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,7Up Can 320Ml,320 ml,1.95,,,,https://vgg.bites.com.my/collections/beverages/products/7up-can-320ml,https://vgg.bites.com.my/collections/beverages
Beverages,7Up Can 4X320Ml,4 x 320 ml,7.75,,,,https://vgg.bites.com.my/collections/beverages/products/7up-can-4x320ml,https://vgg.bites.com.my/collections/beverages
Beverages,7Up Free Pet 1.5L,1.5 liter,4.70,,,,https://vgg.bites.com.my/collections/beverages/products/7up-free-pet-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,7Up Revive 1.5L,1.5 liter,2.29,4.70,2.41,51.30,https://vgg.bites.com.my/collections/beverages/products/7up-revive-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,7Up Revive 12X320Ml,12 x 320 ml,1.95,,,,https://vgg.bites.com.my/collections/beverages/products/7up-revive-12x320ml,https://vgg.bites.com.my/collections/beverages
Beverages,A&W Sarsaparilla 1.5L,1.5 liter,4.50,,,,https://vgg.bites.com.my/collections/beverages/products/a-w-sarsaparilla-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,A&W Sarsaparilla 320Ml,320 ml,2.10,,,,https://vgg.bites.com.my/collections/beverages/products/aw-sarsaparilla-320ml,https://vgg.bites.com.my/collections/beverages
Beverages,A&W Sarsaparilla 4X320Ml,4 x 320 ml,8.10,,,,https://vgg.bites.com.my/collections/beverages/products/a-w-sarsaparilla-4x320ml,https://vgg.bites.com.my/collections/beverages
Beverages,A&W Sarsaparilla 500Ml,500 ml,2.40,,,,https://vgg.bites.com.my/collections/beverages/products/aw-sarsaparilla-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,Acqua Panna Still Water (Pet) 100Cl,100cl,11.65,,,,https://vgg.bites.com.my/collections/beverages/products/acqua-panna-still-water-pet-100cl,https://vgg.bites.com.my/collections/beverages
Beverages,Acqua Panna Still Water 6X25Cl,6x25cl,40.10,,,,https://vgg.bites.com.my/collections/beverages/products/acqua-panna-still-water-6x25cl,https://vgg.bites.com.my/collections/beverages
Beverages,Acqua Panna Still Water 75Cl,75cl,11.50,,,,https://vgg.bites.com.my/collections/beverages/products/acqua-panna-still-water-75cl,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat Kopi O No Sugar Bag 20X10G,20 x 10 g,13.10,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-kopi-o-no-sugar-bag-20x10g,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat Rtd Herbal Tea 310Ml,310 ml,2.60,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-rtd-herbal-tea-310ml,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat White Coffee Classic 15X28G,15 x 28 g,15.60,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-classic-15x28g,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat White Coffee Extra Rich 15X36G,15 x 36 g,22.60,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-extra-rich-15x36g,https://vgg.bites.com.my/collections/beverages
Beverages,Ah Huat White Coffee Gold Medal 15X38G,15 x 38 g,19.90,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-gold-medal-15x38g,https://vgg.bites.com.my/collections/beverages
