Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,A&W Sarsaparilla 500Ml,500 ml,2.40,,,,https://vgg.bites.com.my/collections/beverages/products/aw-sarsaparilla-500ml,https://vgg.bites.com.my/collections/beverages?page=6
Beverages,Acqua Panna Still Water 75Cl,75cl,11.50,,,,https://vgg.bites.com.my/collections/beverages/products/acqua-panna-still-water-75cl,https://vgg.bites.com.my/collections/beverages?page=23
Beverages,Ah Huat Kopi O No Sugar Bag 20X10G,20 x 10 g,13.10,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-kopi-o-no-sugar-bag-20x10g,https://vgg.bites.com.my/collections/beverages?page=11
Beverages,Ah Huat Rtd Herbal Tea 310Ml,310 ml,2.18,2.60,0.42,16.20,https://vgg.bites.com.my/collections/beverages/products/ah-huat-rtd-herbal-tea-310ml,https://vgg.bites.com.my/collections/beverages?page=21
Beverages,Ah Huat White Coffee Classic 15X28G,15 x 28 g,13.28,14.35,1.07,7.50,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-classic-15x28g,https://vgg.bites.com.my/collections/beverages?page=11
Beverages,Ah Huat White Coffee H/Nut & Cane Sugar 15X38G,15 x 38 g,18.99,19.90,0.91,4.60,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-h-nut-cane-sugar-15x38g,https://vgg.bites.com.my/collections/beverages?page=15
Beverages,Ah Huat White Coffee Low Fat N/Sugar 15X20G,15 x 20 g,18.00,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-low-fat-n-sugar-15x20g,https://vgg.bites.com.my/collections/beverages?page=3
Beverages,Ah Huat White Coffee Low Fat N/Sugar 15X20Gm,15 x 20 g,18.00,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-low-fat-nsugar-15x20gm,https://vgg.bites.com.my/collections/beverages?page=6
Beverages,Ah Huat White Coffee Low Fat No Sugar 15X20G,15 x 20 g,18.00,,,,https://vgg.bites.com.my/collections/beverages/products/ah-huat-white-coffee-low-fat-no-sugar-15x20g,https://vgg.bites.com.my/collections/beverages?page=2
Beverages,Ahmad Tea Apple 20X40G,20 x 40 g,12.48,13.55,1.07,7.90,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-apple-20x40g,https://vgg.bites.com.my/collections/beverages?page=3
Beverages,Ahmad Tea Camomile&Lemongrass 20S,20 pcs,12.50,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-camomile-lemongrass-20s,https://vgg.bites.com.my/collections/beverages?page=9
Beverages,Ahmad Tea Ceylon 20Tb,,12.10,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-ceylon-20tb,https://vgg.bites.com.my/collections/beverages?page=9
Beverages,Ahmad Tea Cold Brew Lemon And Lime 20Tb,,13.80,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-cold-brew-lemon-and-lime-20tb,https://vgg.bites.com.my/collections/beverages?page=11
Beverages,Ahmad Tea Cold Brew Mango & Lychee 20S,20 pcs,13.80,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-cold-brew-mango-lychee-20s,https://vgg.bites.com.my/collections/beverages?page=11
Beverages,Ahmad Tea Cold Brew Peach And Passion Tea 20Tb,,13.80,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-cold-brew-peach-and-passion-tea-20tb,https://vgg.bites.com.my/collections/beverages?page=2
Beverages,Ahmad Tea Darjeeling 20Tb,,14.20,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-darjeeling-20tb,https://vgg.bites.com.my/collections/beverages?page=11
Beverages,Ahmad Tea Detox 20S,20 pcs,12.50,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-detox-20s,https://vgg.bites.com.my/collections/beverages?page=2
Beverages,Ahmad Tea Earl Grey 100S,100 pcs,19.88,21.95,2.07,9.40,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-earl-grey-100s,https://vgg.bites.com.my/collections/beverages?page=3
Beverages,Ahmad Tea Eng Breakfast 25Tb,,6.70,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-eng-breakfast-25tb,https://vgg.bites.com.my/collections/beverages?page=9
Beverages,Ahmad Tea Eng.Breakfast 100S,100 pcs,19.88,21.90,2.02,9.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-eng-breakfast-100s,https://vgg.bites.com.my/collections/beverages?page=9
Beverages,Ahmad Tea Englsh Tea No.1 40G 20S,20 pcs,12.10,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-englsh-tea-no-1-40g-20s,https://vgg.bites.com.my/collections/beverages?page=9
Beverages,Ahmad Tea Fruit Tea Selection 20Tb,,12.48,14.90,2.42,16.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-fruit-tea-selection-20tb,https://vgg.bites.com.my/collections/beverages?page=2
Beverages,Ahmad Tea Green Tea 100S,100 pcs,19.88,21.40,1.52,7.10,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-green-tea-100s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Green Tea Pure 20X40G,20 x 40 g,12.15,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-green-tea-pure-20x40g,https://vgg.bites.com.my/collections/beverages?page=3
Beverages,Ahmad Tea Jasmine Green Tea 100S,100 pcs,19.88,22.70,2.82,12.40,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-jasmine-green-tea-100s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Jasmine Romance 20X40G,20 x 40 g,12.55,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-jasmine-romance-20x40g,https://vgg.bites.com.my/collections/beverages?page=3
