Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Cost per 100g/ml,Details Link,Start URL
Beverage,Ah Huat White Coffee Low Fat No Sugar,15 x 20 g,15.99,19.31,3.32,17.20,1.07,5.33,https://myaeon2go.com/product/132/white-coffee-low-fat-no-sugar,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ah Huat White Coffee Smooth,15 x 28 g,14.75,,,,0.98,3.51,https://myaeon2go.com/product/129/white-coffee-smooth,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Camomile & Lemongrass,40 g,11.46,,,,,28.65,https://myaeon2go.com/product/5107/camomile-&-lemongrass,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Ceylon Tea Teabag,25's,6.23,,,,,,https://myaeon2go.com/product/19718/ceylon-tea-teabag,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Detox,40 g,11.46,,,,,28.65,https://myaeon2go.com/product/140/detox,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Earl Grey,100 pcs,22.16,,,,0.22,,https://myaeon2go.com/product/23979/earl-grey,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Earl Grey Teabag,25's,6.41,,,,,,https://myaeon2go.com/product/20205/earl-grey-teabag,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea English Breakfast Tea,200 g,20.12,,,,,10.06,https://myaeon2go.com/product/133/english-breakfast-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Fruit Tea Selection,20 pcs,11.89,12.74,0.85,6.70,0.59,,https://myaeon2go.com/product/34719/fruit-tea-selection,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Green Tea,40 g,10.89,11.61,0.72,6.20,,27.22,https://myaeon2go.com/product/7158/green-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Green Tea,200 g,20.54,,,,,10.27,https://myaeon2go.com/product/5114/green-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Jasmine Green Tea,200 g,21.07,,,,,10.54,https://myaeon2go.com/product/134/jasmine-green-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Jasmine Green Tea,40 g,10.89,11.93,1.04,8.70,,27.22,https://myaeon2go.com/product/5164/jasmine-green-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Lemon & Lime,40 g,11.49,12.63,1.14,9.00,,28.73,https://myaeon2go.com/product/136/lemon-&-lime,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Mango,40 g,11.49,12.63,1.14,9.00,,28.73,https://myaeon2go.com/product/5165/mango,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Peach & Passion Fruit,40 g,11.49,12.63,1.14,9.00,,28.73,https://myaeon2go.com/product/137/peach-&-passion-fruit,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Peppermint & Lemon,20 x 1.5 g,11.46,,,,0.57,,https://myaeon2go.com/product/12698/peppermint-&-lemon,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Raspberry Indulgence,20 pcs,11.49,12.63,1.14,9.00,0.57,,https://myaeon2go.com/product/34736/raspberry-indulgence,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Ahmad Tea Strawberry,40 g,11.49,12.63,1.14,9.00,,28.73,https://myaeon2go.com/product/138/strawberry,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
